datum,monat,wochentag,feiertag,arbeitstag
2015-10-03,Oktober,Samstag,Tag der Deutschen Einheit,0
2015-10-04,Oktober,Sonntag,,0
2015-10-05,Oktober,Montag,,1
2015-10-06,Oktober,Dienstag,,1
2015-10-07,Oktober,Mittwoch,,1
2015-10-08,Oktober,Donnerstag,,1
2015-10-09,Oktober,Freitag,,1
2015-10-10,Oktober,Samstag,,0
2015-10-11,Oktober,Sonntag,,0
2015-10-12,Oktober,Montag,,1
2015-10-13,Oktober,Dienstag,,1
2015-10-14,Oktober,Mittwoch,,1
2015-10-15,Oktober,Donnerstag,,1
2015-10-16,Oktober,Freitag,,1
2015-10-17,Oktober,Samstag,,0
2015-10-18,Oktober,Sonntag,,0
2015-10-19,Oktober,Montag,,1
2015-10-20,Oktober,Dienstag,,1
2015-10-21,Oktober,Mittwoch,,1
2015-10-22,Oktober,Donnerstag,,1
2015-10-23,Oktober,Freitag,,1
2015-10-24,Oktober,Samstag,,0
2015-10-25,Oktober,Sonntag,,0
2015-10-26,Oktober,Montag,,1
2015-10-27,Oktober,Dienstag,,1
2015-10-28,Oktober,Mittwoch,,1
2015-10-29,Oktober,Donnerstag,,1
2015-10-30,Oktober,Freitag,,1
2015-10-31,Oktober,Samstag,,0
2015-11-01,November,Sonntag,Allerheiligen,0
2015-11-02,November,Montag,,1
2015-11-03,November,Dienstag,,1
2015-11-04,November,Mittwoch,,1
2015-11-05,November,Donnerstag,,1
2015-11-06,November,Freitag,,1
2015-11-07,November,Samstag,,0
2015-11-08,November,Sonntag,,0
2015-11-09,November,Montag,,1
2015-11-10,November,Dienstag,,1
2015-11-11,November,Mittwoch,,1
2015-11-12,November,Donnerstag,,1
2015-11-13,November,Freitag,,1
2015-11-14,November,Samstag,,0
2015-11-15,November,Sonntag,,0
2015-11-16,November,Montag,,1
2015-11-17,November,Dienstag,,1
2015-11-18,November,Mittwoch,,1
2015-11-19,November,Donnerstag,,1
2015-11-20,November,Freitag,,1
2015-11-21,November,Samstag,,0
2015-11-22,November,Sonntag,,0
2015-11-23,November,Montag,,1
2015-11-24,November,Dienstag,,1
2015-11-25,November,Mittwoch,,1
2015-11-26,November,Donnerstag,,1
2015-11-27,November,Freitag,,1
2015-11-28,November,Samstag,,0
2015-11-29,November,Sonntag,,0
2015-11-30,November,Montag,,1
2015-12-01,Dezember,Dienstag,,1
2015-12-02,Dezember,Mittwoch,,1
2015-12-03,Dezember,Donnerstag,,1
2015-12-04,Dezember,Freitag,,1
2015-12-05,Dezember,Samstag,,0
2015-12-06,Dezember,Sonntag,,0
2015-12-07,Dezember,Montag,,1
2015-12-08,Dezember,Dienstag,,1
2015-12-09,Dezember,Mittwoch,,1
2015-12-10,Dezember,Donnerstag,,1
