datum,verbrauch,arbeitstag,temperatur,tagesstunden
2016-11-29,0.8167664949775095,1.0,0.2351543942992874,0.037974683544303556
2016-11-30,0.8277670310205794,1.0,0.2375296912114014,0.037974683544303556
2016-12-01,0.8009726462659552,1.0,0.2684085510688836,0.037974683544303556
2016-12-02,0.7849923477909588,1.0,0.2826603325415677,0.025316455696202445
2016-12-03,0.48790795596678094,0.0,0.23990498812351543,0.025316455696202445
2016-12-04,0.40439399942511334,0.0,0.2185273159144893,0.025316455696202445
2016-12-05,0.7988595489469472,1.0,0.2660332541567696,0.025316455696202445
2016-12-06,0.8541108288468859,1.0,0.27078384798099764,0.012658227848101111
2016-12-07,0.8675662867752738,1.0,0.23990498812351543,0.012658227848101111
2016-12-08,0.8345879848664943,1.0,0.2897862232779097,0.012658227848101111
2016-12-09,0.7952626222605481,1.0,0.3159144893111639,0.012658227848101111
2016-12-10,0.47414174843265666,0.0,0.3230403800475059,0.012658227848101111
2016-12-11,0.37249555239626786,0.0,0.3254156769596199,0.012658227848101111
2016-12-12,0.7577318386277299,1.0,0.3159144893111639,0.0
2016-12-13,0.8175899814327112,1.0,0.3016627078384798,0.0
2016-12-14,0.7843553110991992,1.0,0.3230403800475059,0.0
2016-12-15,0.7832832249594084,1.0,0.29691211401425177,0.0
2016-12-16,0.7464438591993536,1.0,0.2684085510688836,0.0
2016-12-17,0.48059757149183113,0.0,0.27790973871733965,0.0
2016-12-18,0.362403958949977,0.0,0.2589073634204275,0.0
2016-12-19,0.7361192035487605,1.0,0.23990498812351543,0.0
2016-12-20,0.7717311083661562,1.0,0.2375296912114014,0.0
2016-12-21,0.7369116150433885,1.0,0.27078384798099764,0.0
2016-12-22,0.6519837477956201,1.0,0.2874109263657957,0.0
2016-12-23,0.501782925862913,1.0,0.2850356294536817,0.0
2016-12-24,0.25239082977913485,0.0,0.33729216152019004,0.0
2016-12-25,0.1533704679112189,0.0,0.36104513064133015,0.0
2016-12-26,0.15607398948112583,0.0,0.38479809976247026,0.0
2016-12-27,0.36088905462201204,1.0,0.28028503562945367,0.0
2016-12-28,0.3698541807475082,1.0,0.2874109263657957,0.0
2016-12-29,0.3905190295289813,1.0,0.2755344418052256,0.0
2016-12-30,0.3982100822709582,1.0,0.2850356294536817,0.0
2016-12-31,0.32051491209670524,0.0,0.2684085510688836,0.012658227848101111
2017-01-01,0.2272278804546266,0.0,0.2541567695961995,0.012658227848101111
2017-01-02,0.5546181275782507,1.0,0.19714964370546317,0.012658227848101111
2017-01-03,0.6100947009423483,1.0,0.17577197149643703,0.012658227848101111
2017-01-04,0.6486820332346703,1.0,0.23040380047505937,0.012658227848101111
2017-01-05,0.6246533199711004,1.0,0.14726840855106887,0.012658227848101111
2017-01-06,0.40873672516528003,0.0,0.0,0.025316455696202445
2017-01-07,0.4763946830742458,0.0,0.07363420427553444,0.025316455696202445
2017-01-08,0.3916532655899194,0.0,0.18052256532066507,0.025316455696202445
2017-01-09,0.7772779888285517,1.0,0.173396674584323,0.037974683544303556
2017-01-10,0.8380217680098818,1.0,0.1828978622327791,0.037974683544303556
2017-01-11,0.8608463265512232,1.0,0.23990498812351543,0.037974683544303556
2017-01-12,0.8102407532570444,1.0,0.2897862232779097,0.037974683544303556
2017-01-13,0.8071177197193931,1.0,0.2185273159144893,0.05063291139240489
2017-01-14,0.519821940475913,0.0,0.2161520190023753,0.05063291139240489
2017-01-15,0.4038501876150744,0.0,0.15676959619952494,0.05063291139240489
2017-01-16,0.8325914186496377,1.0,0.12826603325415675,0.06329113924050622
2017-01-17,0.8791650158093862,1.0,0.09738717339667458,0.06329113924050622
2017-01-18,0.8893109904366809,1.0,0.0997624703087886,0.06329113924050622
2017-01-19,0.897856604594433,1.0,0.0831353919239905,0.07594936708860756
2017-01-20,0.8988510033327897,1.0,0.09501187648456055,0.07594936708860756
2017-01-21,0.6638543827347521,0.0,0.1163895486935867,0.08860759493670867
2017-01-22,0.5572051180460065,0.0,0.10213776722090259,0.08860759493670867
2017-01-23,0.96296641573636,1.0,0.06888361045130642,0.10126582278481
2017-01-24,0.9715586423349727,1.0,0.07125890736342042,0.10126582278481
2017-01-25,0.9591752705463756,1.0,0.0665083135391924,0.10126582278481
2017-01-26,0.9061846940281695,1.0,0.1377672209026128,0.11392405063291111
2017-01-27,0.8599606901748744,1.0,0.19714964370546317,0.11392405063291111
2017-01-28,0.550143333255646,0.0,0.2185273159144893,0.12658227848101267
2017-01-29,0.3958949977082218,0.0,0.2589073634204275,0.12658227848101267
2017-01-30,0.8155856464757112,1.0,0.2874109263657957,0.13924050632911378
2017-01-31,0.8021923384684706,1.0,0.30403800475059384,0.13924050632911378
2017-02-01,0.7966843017067922,1.0,0.29453681710213775,0.1518987341772151
2017-02-02,0.7548962484753847,1.0,0.3562945368171021,0.1518987341772151
2017-02-03,0.7217392655433068,1.0,0.37054631828978624,0.16455696202531622
2017-02-04,0.4568640703537108,0.0,0.33016627078384797,0.16455696202531622
2017-02-05,0.3186659519425734,0.0,0.3230403800475059,0.17721518987341756
2017-02-06,0.7185929257852255,1.0,0.3064133016627078,0.17721518987341756
2017-02-07,0.7667746521546601,1.0,0.31828978622327786,0.1898734177215189
2017-02-08,0.7798960542568811,1.0,0.2897862232779097,0.1898734177215189
2017-02-09,0.824014729531312,1.0,0.23040380047505937,0.20253164556962022
2017-02-10,0.7766409521367921,1.0,0.2541567695961995,0.20253164556962022
2017-02-11,0.47391645496849777,0.0,0.3016627078384798,0.21518987341772133
2017-02-12,0.34979529369722107,0.0,0.2921615201900237,0.22784810126582267
2017-02-13,0.7902828598286216,1.0,0.2826603325415677,0.22784810126582267
2017-02-14,0.7778062631583036,1.0,0.34679334916864607,0.24050632911392378
2017-02-15,0.7694548675041368,1.0,0.3919239904988123,0.24050632911392378
2017-02-16,0.7291040311992605,1.0,0.4085510688836104,0.25316455696202533
2017-02-17,0.7198669991687447,1.0,0.3657957244655582,0.25316455696202533
2017-02-18,0.42529191041088876,0.0,0.3562945368171021,0.26582278481012644
2017-02-19,0.30123289906075934,0.0,0.3491686460807601,0.2784810126582278
2017-02-20,0.7202476674357721,1.0,0.37292161520190026,0.2784810126582278
2017-02-21,0.7518120586384507,1.0,0.4346793349168646,0.2911392405063289
2017-02-22,0.7481762882513343,1.0,0.4323040380047506,0.2911392405063289
2017-02-23,0.6953333177958532,1.0,0.4584323040380047,0.3037974683544302
2017-02-24,0.6882016143442018,1.0,0.332541567695962,0.3037974683544302
2017-02-25,0.3865414345755549,0.0,0.34679334916864607,0.31645569620253156
2017-02-26,0.24381414066080898,0.0,0.3752969121140142,0.3291139240506329
2017-02-27,0.5729523543167006,1.0,0.43705463182897863,0.3291139240506329
2017-02-28,0.6708850925645389,1.0,0.3586698337292161,0.341772151898734
2017-03-01,0.7089752254876827,1.0,0.3586698337292161,0.341772151898734
2017-03-02,0.6687797639856745,1.0,0.38242280285035624,0.35443037974683533
2017-03-03,0.6568780540859689,1.0,0.40380047505938244,0.36708860759493644
2017-03-04,0.3618756846202251,0.0,0.4679334916864608,0.36708860759493644
2017-03-05,0.2370553367360415,0.0,0.3895486935866983,0.379746835443038
2017-03-06,0.6700305311487635,1.0,0.3657957244655582,0.379746835443038
2017-03-07,0.7289641938766791,1.0,0.334916864608076,0.3924050632911391
2017-03-08,0.7290651874985434,1.0,0.3562945368171021,0.3924050632911391
2017-03-09,0.6966073911793724,1.0,0.4560570071258907,0.40506329113924044
2017-03-10,0.63597237436005,1.0,0.38242280285035624,0.41772151898734156
2017-03-11,0.3542312443191089,0.0,0.41092636579572445,0.41772151898734156
2017-03-12,0.20696700616061103,0.0,0.4061757719714964,0.4303797468354429
2017-03-13,0.6136139402273133,1.0,0.39429928741092635,0.4303797468354429
2017-03-14,0.6367414796342477,1.0,0.44655581947743467,0.4430379746835442
2017-03-15,0.646879685521399,1.0,0.45130641330166266,0.45569620253164556
2017-03-16,0.6318471733438988,1.0,0.503562945368171,0.45569620253164556
2017-03-17,0.5967324678956814,1.0,0.498812351543943,0.4683544303797469
2017-03-18,0.3590478632080236,0.0,0.41567695961995244,0.4683544303797469
2017-03-19,0.1991749597967698,0.0,0.501187648456057,0.481012658227848
2017-03-20,0.5974471919888753,1.0,0.48456057007125886,0.49367088607594933
2017-03-21,0.6534598084228682,1.0,0.4560570071258907,0.49367088607594933
2017-03-22,0.68635265419007,1.0,0.3919239904988123,0.5063291139240507
2017-03-23,0.6373707475858641,1.0,0.47268408551068886,0.518987341772152
2017-03-24,0.6583230397526434,1.0,0.4560570071258907,0.518987341772152
2017-03-25,0.32440705090855415,0.0,0.4418052256532066,0.5316455696202531
2017-03-26,0.14717101327677695,0.0,0.4418052256532066,0.5316455696202531
2017-03-27,0.5991718523007123,1.0,0.4750593824228028,0.5443037974683544
2017-03-28,0.633191165388709,1.0,0.5510688836104513,0.5443037974683544
2017-03-29,0.6276598224066003,1.0,0.5439429928741093,0.5569620253164556
2017-03-30,0.5962352685265031,1.0,0.5795724465558194,0.5696202531645571
2017-03-31,0.5843024836662238,1.0,0.6175771971496437,0.5696202531645571
2017-04-01,0.2872802417631932,0.0,0.5558194774346793,0.5822784810126582
2017-04-02,0.1479634247714049,0.0,0.501187648456057,0.5949367088607596
2017-04-03,0.5793848711554448,1.0,0.5201900237529691,0.5949367088607596
2017-04-04,0.632266685311643,1.0,0.4821852731591449,0.6075949367088607
2017-04-05,0.6340301893241973,1.0,0.4798099762470308,0.6075949367088607
2017-04-06,0.6213982178510111,1.0,0.39667458432304037,0.620253164556962
2017-04-07,0.5726726796715378,1.0,0.4655581947743468,0.620253164556962
2017-04-08,0.2618997677146697,0.0,0.5463182897862232,0.6329113924050633
2017-04-09,0.12169731434653241,0.0,0.6460807600950118,0.6455696202531647
2017-04-10,0.552411805377522,1.0,0.6080760095011876,0.6455696202531647
2017-04-11,0.573643772189464,1.0,0.4584323040380047,0.6582278481012658
2017-04-12,0.5881169350766386,1.0,0.5320665083135392,0.6582278481012658
2017-04-13,0.5434233730315956,1.0,0.498812351543943,0.6708860759493671
2017-04-14,0.16798346812097487,0.0,0.4869358669833729,0.6708860759493671
2017-04-15,0.1723495000815718,0.0,0.4916864608076009,0.6835443037974682
2017-04-16,0.067960938774559,0.0,0.42755344418052255,0.6962025316455698
2017-04-17,0.09978946714211356,0.0,0.39667458432304037,0.6962025316455698
2017-04-18,0.5516582375836112,1.0,0.3230403800475059,0.7088607594936709
2017-04-19,0.6322278416109259,1.0,0.30403800475059384,0.7088607594936709
2017-04-20,0.602434723160945,1.0,0.342042755344418,0.7215189873417722
2017-04-21,0.5895619207433132,1.0,0.45130641330166266,0.7215189873417722
2017-04-22,0.34504082472945363,0.0,0.45130641330166266,0.7341772151898733
2017-04-23,0.16898563559947488,0.0,0.39667458432304037,0.7468354430379747
2017-04-24,0.5997622765516117,1.0,0.501187648456057,0.7468354430379747
2017-04-25,0.6709394737455427,1.0,0.4560570071258907,0.759493670886076
2017-04-26,0.6881783081237716,1.0,0.3586698337292161,0.759493670886076
2017-04-27,0.6707374865018141,1.0,0.38242280285035624,0.7721518987341773
