datum,verbrauch,wochentag,feiertag,arbeitstag
2015-08-25,170370,Dienstag,,1
2015-08-26,174697,Mittwoch,,1
2015-08-27,175454,Donnerstag,,1
2015-08-28,174320,Freitag,,1
2015-08-29,140293,Samstag,,0
2015-08-30,124274,Sonntag,,0
2015-08-31,177897,Montag,,1
2015-09-01,182335,Dienstag,,1
2015-09-02,177067,Mittwoch,,1
2015-09-03,175167,Donnerstag,,1
2015-09-04,171518,Freitag,,1
2015-09-05,135455,Samstag,,0
2015-09-06,120813,Sonntag,,0
2015-09-07,172230,Montag,,1
2015-09-08,178903,Dienstag,,1
2015-09-09,178604,Mittwoch,,1
2015-09-10,177505,Donnerstag,,1
2015-09-11,174622,Freitag,,1
2015-09-12,140057,Samstag,,0
2015-09-13,122205,Sonntag,,0
2015-09-14,176677,Montag,,1
2015-09-15,182538,Dienstag,,1
2015-09-16,184302,Mittwoch,,1
2015-09-17,182978,Donnerstag,,1
2015-09-18,176762,Freitag,,1
2015-09-19,139564,Samstag,,0
2015-09-20,122944,Sonntag,,0
2015-09-21,178084,Montag,,1
2015-09-22,184401,Dienstag,,1
2015-09-23,185656,Mittwoch,,1
2015-09-24,183370,Donnerstag,,1
2015-09-25,177160,Freitag,,1
2015-09-26,139890,Samstag,,0
2015-09-27,123711,Sonntag,,0
2015-09-28,175671,Montag,,1
2015-09-29,181546,Dienstag,,1
2015-09-30,182183,Mittwoch,,1
2015-10-01,180505,Donnerstag,,1
2015-10-02,177090,Freitag,,1
2015-10-03,126716,Samstag,Tag der Deutschen Einheit,0
2015-10-04,122215,Sonntag,,0
2015-10-05,178403,Montag,,1
2015-10-06,186538,Dienstag,,1
2015-10-07,184810,Mittwoch,,1
2015-10-08,182579,Donnerstag,,1
2015-10-09,179229,Freitag,,1
2015-10-10,144169,Samstag,,0
2015-10-11,127624,Sonntag,,0
2015-10-12,183504,Montag,,1
2015-10-13,190584,Dienstag,,1
2015-10-14,192127,Mittwoch,,1
2015-10-15,191383,Donnerstag,,1
2015-10-16,188929,Freitag,,1
2015-10-17,150644,Samstag,,0
2015-10-18,133059,Sonntag,,0
2015-10-19,185723,Montag,,1
2015-10-20,193467,Dienstag,,1
2015-10-21,194788,Mittwoch,,1
2015-10-22,192304,Donnerstag,,1
2015-10-23,189784,Freitag,,1
2015-10-24,149881,Samstag,,0
2015-10-25,138090,Sonntag,,0
2015-10-26,189547,Montag,,1
2015-10-27,198264,Dienstag,,1
2015-10-28,196930,Mittwoch,,1
2015-10-29,193817,Donnerstag,,1
2015-10-30,191307,Freitag,,1
2015-10-31,152588,Samstag,,0
2015-11-01,135022,Sonntag,Allerheiligen,0
2015-11-02,189777,Montag,,1
2015-11-03,197740,Dienstag,,1
2015-11-04,192758,Mittwoch,,1
2015-11-05,190929,Donnerstag,,1
2015-11-06,185725,Freitag,,1
2015-11-07,148514,Samstag,,0
2015-11-08,131307,Sonntag,,0
2015-11-09,187338,Montag,,1
2015-11-10,192997,Dienstag,,1
2015-11-11,191574,Mittwoch,,1
2015-11-12,191304,Donnerstag,,1
2015-11-13,189635,Freitag,,1
2015-11-14,151075,Samstag,,0
2015-11-15,134499,Sonntag,,0
2015-11-16,188515,Montag,,1
2015-11-17,195265,Dienstag,,1
2015-11-18,192454,Mittwoch,,1
2015-11-19,191484,Donnerstag,,1
2015-11-20,191877,Freitag,,1
