datum,wochentag,feiertag,arbeitstag
2016-01-09,Samstag,,0
2016-01-10,Sonntag,,0
2016-01-11,Montag,,1
2016-01-12,Dienstag,,1
2016-01-13,Mittwoch,,1
2016-01-14,Donnerstag,,1
2016-01-15,Freitag,,1
2016-01-16,Samstag,,0
2016-01-17,Sonntag,,0
2016-01-18,Montag,,1
2016-01-19,Dienstag,,1
2016-01-20,Mittwoch,,1
2016-01-21,Donnerstag,,1
2016-01-22,Freitag,,1
2016-01-23,Samstag,,0
2016-01-24,Sonntag,,0
2016-01-25,Montag,,1
2016-01-26,Dienstag,,1
2016-01-27,Mittwoch,,1
2016-01-28,Donnerstag,,1
2016-01-29,Freitag,,1
2016-01-30,Samstag,,0
2016-01-31,Sonntag,,0
2016-02-01,Montag,,1
2016-02-02,Dienstag,,1
2016-02-03,Mittwoch,,1
2016-02-04,Donnerstag,,1
2016-02-05,Freitag,,1
2016-02-06,Samstag,,0
2016-02-07,Sonntag,,0
2016-02-08,Montag,,1
2016-02-09,Dienstag,,1
2016-02-10,Mittwoch,,1
2016-02-11,Donnerstag,,1
2016-02-12,Freitag,,1
2016-02-13,Samstag,,0
2016-02-14,Sonntag,,0
2016-02-15,Montag,,1
2016-02-16,Dienstag,,1
2016-02-17,Mittwoch,,1
2016-02-18,Donnerstag,,1
2016-02-19,Freitag,,1
2016-02-20,Samstag,,0
2016-02-21,Sonntag,,0
2016-02-22,Montag,,1
2016-02-23,Dienstag,,1
2016-02-24,Mittwoch,,1
2016-02-25,Donnerstag,,1
2016-02-26,Freitag,,1
2016-02-27,Samstag,,0
2016-02-28,Sonntag,,0
2016-02-29,Montag,,1
2016-03-01,Dienstag,,1
2016-03-02,Mittwoch,,1
2016-03-03,Donnerstag,,1
2016-03-04,Freitag,,1
2016-03-05,Samstag,,0
2016-03-06,Sonntag,,0
2016-03-07,Montag,,1
2016-03-08,Dienstag,,1
2016-03-09,Mittwoch,,1
2016-03-10,Donnerstag,,1
2016-03-11,Freitag,,1
2016-03-12,Samstag,,0
2016-03-13,Sonntag,,0
2016-03-14,Montag,,1
2016-03-15,Dienstag,,1
2016-03-16,Mittwoch,,1
2016-03-17,Donnerstag,,1
2016-03-18,Freitag,,1
2016-03-19,Samstag,,0
2016-03-20,Sonntag,,0
2016-03-21,Montag,,1
2016-03-22,Dienstag,,1
2016-03-23,Mittwoch,,1
2016-03-24,Donnerstag,,1
2016-03-25,Freitag,Karfreitag,0
2016-03-26,Samstag,,0
2016-03-27,Sonntag,,0
2016-03-28,Montag,Ostermontag,0
2016-03-29,Dienstag,,1
2016-03-30,Mittwoch,,1
2016-03-31,Donnerstag,,1
2016-04-01,Freitag,,1
2016-04-02,Samstag,,0
2016-04-03,Sonntag,,0
2016-04-04,Montag,,1
2016-04-05,Dienstag,,1
2016-04-06,Mittwoch,,1
2016-04-07,Donnerstag,,1
2016-04-08,Freitag,,1
2016-04-09,Samstag,,0
2016-04-10,Sonntag,,0
2016-04-11,Montag,,1
2016-04-12,Dienstag,,1
2016-04-13,Mittwoch,,1
2016-04-14,Donnerstag,,1
2016-04-15,Freitag,,1
2016-04-16,Samstag,,0
2016-04-17,Sonntag,,0
