datum,forecast,actual,residual,baseline
2021-12-13,211168,209462,-1706,208221
2021-12-14,212890,211988,-902,212822
2021-12-15,210652,213038,2386,210352
2021-12-16,208847,211657,2810,207362
2021-12-17,203844,200994,-2850,200456
2021-12-18,163883,167096,3213,167556
2021-12-19,150974,161782,10808,150656
2021-12-20,206707,202954,-3753,193928
2021-12-21,209279,208005,-1274,200421
2021-12-22,209597,203472,-6125,202842
2021-12-23,199438,188233,-11205,180538
2021-12-24,176182,150890,-25292,142762
2021-12-25,125536,137604,12068,147844
2021-12-26,123105,138335,15230,146801
2021-12-27,151370,153489,2119,157805
2021-12-28,140380,155182,14802,159922
2021-12-29,143467,153611,10144,152132
2021-12-30,141994,148126,6132,157252
2021-12-31,136671,137327,656,126370
